"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 10 22:03:20 GMT 2023","Sat Jun 10 22:03:27 GMT 2023","6586","Surefire suite","Surefire test","com.qacart.todo.testcases.TodoTest","com.qacart.todo.testcases.TodoTest","shouldBeAbleToAddATodo","Should be able to add a todo",""
"passed","Sat Jun 10 22:03:20 GMT 2023","Sat Jun 10 22:03:23 GMT 2023","2827","Surefire suite","Surefire test","com.qacart.todo.testcases.UserTest","com.qacart.todo.testcases.UserTest","shouldBeAbleToRegisterToTheApplication","Should be able to signup",""
"passed","Sat Jun 10 22:03:20 GMT 2023","Sat Jun 10 22:03:27 GMT 2023","6922","Surefire suite","Surefire test","com.qacart.todo.testcases.TodoTest","com.qacart.todo.testcases.TodoTest","shouldBeAbleToDeleteATodo","Should be able to delete a todo",""
