"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 10 21:53:50 GMT 2023","Sat Jun 10 21:53:54 GMT 2023","3206","Surefire suite","Surefire test","com.qacart.todo.testcases.UserTest","com.qacart.todo.testcases.UserTest","shouldBeAbleToRegisterToTheApplication","Should be able to signup",""
"passed","Sat Jun 10 21:53:50 GMT 2023","Sat Jun 10 21:53:58 GMT 2023","7287","Surefire suite","Surefire test","com.qacart.todo.testcases.TodoTest","com.qacart.todo.testcases.TodoTest","shouldBeAbleToAddATodo","Should be able to add a todo",""
"passed","Sat Jun 10 21:53:50 GMT 2023","Sat Jun 10 21:53:58 GMT 2023","7855","Surefire suite","Surefire test","com.qacart.todo.testcases.TodoTest","com.qacart.todo.testcases.TodoTest","shouldBeAbleToDeleteATodo","Should be able to delete a todo",""
